['1.14', '9.00', '-3.86', '-0.01', '0.05', '0.03', '148.81', '0.00', '230.00', '0.00', '230.00', '0.00']
['3.44', '8.69', '-3.70', '-0.07', '0.02', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['4.66', '8.68', '-1.39', '-0.04', '0.04', '-0.01', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['5.24', '8.52', '0.11', '0.24', '1.32', '0.05', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['6.09', '7.58', '-4.72', '0.04', '-0.15', '-0.04', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['2.35', '7.48', '-6.56', '-0.18', '0.03', '-0.02', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['2.45', '8.43', '-4.80', '-0.09', '0.08', '-0.21', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['1.90', '7.73', '-6.33', '-0.06', '0.02', '0.01', '0.00', '0.00', '0.00', '0.00', '9.78', '0.00']
['1.14', '6.92', '-7.45', '-0.06', '0.03', '-0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['2.65', '8.35', '-4.91', '0.13', '-0.57', '0.33', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['3.48', '7.46', '-6.59', '0.01', '0.04', '0.04', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['3.16', '7.59', '-6.11', '-0.06', '0.04', '-0.02', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['3.05', '7.55', '-6.14', '-0.05', '0.03', '-0.00', '0.00', '0.00', '0.00', '0.00', '9.78', '0.00']
['3.14', '7.45', '-6.16', '0.04', '0.11', '0.08', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['3.22', '7.38', '-6.45', '-0.09', '0.06', '-0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['0.98', '7.31', '-6.95', '-0.10', '0.01', '0.02', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['1.38', '7.04', '-7.27', '-0.05', '0.04', '-0.01', '9.78', '0.00', '0.00', '0.00', '0.00', '0.00']
['2.92', '7.22', '-6.87', '0.06', '0.12', '-0.14', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['2.74', '7.56', '-6.28', '-0.05', '0.03', '0.01', '9.78', '0.00', '0.00', '0.00', '0.00', '0.00']
['2.54', '8.16', '-5.39', '-0.06', '0.01', '0.05', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['2.63', '7.56', '-6.35', '-0.07', '0.04', '0.01', '0.00', '0.00', '9.78', '0.00', '0.00', '0.00']
['3.19', '7.30', '-6.48', '-0.06', '0.03', '-0.01', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['7.55', '4.75', '-5.79', '-0.07', '0.01', '-0.01', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['2.70', '5.56', '-8.57', '0.13', '-0.12', '0.09', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['5.39', '6.17', '-6.62', '0.27', '0.24', '-0.19', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['-3.65', '4.23', '-8.33', '-0.06', '0.03', '-0.01', '148.81', '0.00', '230.00', '0.00', '230.00', '0.00']
['-3.67', '4.12', '-8.45', '-0.06', '0.03', '-0.01', '0.00', '0.00', '312.50', '0.00', '312.50', '0.00']
['-3.66', '4.03', '-8.49', '-0.05', '0.03', '-0.01', '0.00', '0.00', '9.78', '0.00', '0.00', '0.00']
['-3.65', '3.95', '-8.55', '-0.06', '0.02', '0.00', '19.59', '0.00', '0.00', '0.00', '148.81', '0.00']